S.No,chat_file,#user_utterance,#system_utterance,duration
1,2023-04-04_11-51-50.txt,3,3,19.723
2,2023-04-04_18-24-07.txt,6,6,111.314
3,2023-04-04_18-27-40.txt,2,2,110.529
4,2023-04-05_11-19-27.txt,5,5,50.511
